time,iteration,well_num,avg_h,avg_s,avg_v
1724886202.2353296,0,0,83.74826388888889,46.626736111111114,121.63541666666669
1724886202.2369998,0,1,80.82986111111111,46.392361111111114,124.40798611111111
1724886202.2371688,0,2,82.69791666666667,43.55034722222222,123.81076388888889
1724886202.2373278,0,12,92.73958333333331,67.43055555555556,65.51736111111111
1724886202.237472,0,13,92.27430555555556,60.97743055555556,75.42361111111111
1724886202.2376173,0,14,91.02083333333331,70.515625,72.47916666666667
1724886202.2377713,0,24,93.82638888888889,75.60590277777777,73.10069444444444
1724886202.237918,0,25,90.11458333333331,73.80208333333333,42.00347222222222
1724886202.2380636,0,26,91.13541666666669,74.78125,40.46527777777778
1724886202.2382126,0,36,92.48611111111111,63.86631944444444,55.609375
1724886202.2383657,0,37,92.47395833333331,82.22048611111111,53.91319444444444
1724886202.238512,0,38,92.85416666666669,73.58506944444444,50.25
1724886209.1556456,0,48,76.77777777777777,45.96180555555556,100.55381944444444
1724886209.155836,0,49,77.91666666666667,47.22569444444444,103.88020833333331
1724886209.1560028,0,50,78.078125,44.83680555555556,102.08506944444444
1724886209.1561625,0,60,89.03125,63.75347222222222,70.86805555555556
1724886209.156313,0,61,92.82291666666669,61.923611111111114,75.05729166666667
1724886209.1564667,0,62,94.50520833333331,65.47222222222223,75.14930555555556
1724886209.1566217,0,72,92.00694444444444,80.51736111111111,67.86284722222223
1724886209.1567717,0,73,90.17708333333331,76.10243055555556,42.59375
1724886209.156924,0,74,90.40798611111111,69.77951388888889,39.479166666666664
1724886209.157076,0,84,93.28125,78.84548611111111,48.09375
1724886209.157231,0,85,92.875,90.69965277777776,40.376736111111114
1724886209.1573818,0,86,95.84722222222224,91.39930555555556,38.80902777777778
1724886215.4333203,0,3,82.98958333333333,45.107638888888886,125.94270833333331
1724886215.4335485,0,4,79.36805555555556,45.68402777777778,118.19618055555556
1724886215.4337528,0,5,80.11979166666667,44.682291666666664,123.82465277777776
1724886215.4339612,0,15,93.18055555555556,69.35763888888889,63.71180555555556
1724886215.434152,0,16,92.70486111111111,60.348958333333336,78.0
1724886215.4343436,0,17,93.23263888888889,66.98958333333333,74.99652777777777
1724886215.4345336,0,27,94.79513888888889,76.62847222222223,71.26215277777777
1724886215.4347267,0,28,83.08333333333333,66.08680555555556,37.91840277777778
1724886215.4349244,0,29,87.60069444444444,72.31423611111111,42.05034722222222
1724886215.4351242,0,39,94.71701388888889,80.72048611111111,64.39930555555556
1724886215.435325,0,40,93.57465277777776,90.07638888888889,56.71527777777778
1724886215.4355206,0,41,96.19444444444444,82.62152777777777,58.12847222222222
1724886221.677875,0,51,74.15972222222223,45.71875,102.82465277777776
1724886221.6781204,0,52,76.54166666666667,45.27777777777778,100.59548611111111
1724886221.678331,0,53,73.72916666666667,45.916666666666664,98.38368055555556
1724886221.678532,0,63,87.54513888888889,57.204861111111114,72.79513888888889
1724886221.6787324,0,64,91.8125,61.86805555555556,70.61458333333333
1724886221.678931,0,65,86.51736111111111,59.548611111111114,73.63194444444444
1724886221.679127,0,75,92.11805555555556,68.68055555555556,71.14409722222223
1724886221.6793272,0,76,91.80381944444444,72.83333333333333,50.786458333333336
1724886221.679522,0,77,86.12847222222223,74.22743055555556,36.39409722222222
1724886221.67972,0,87,92.37847222222224,80.57638888888889,48.37847222222222
1724886221.6799147,0,88,88.04166666666667,73.71180555555556,38.322916666666664
1724886221.680111,0,89,87.24652777777777,78.84722222222223,38.098958333333336
1724886228.2385795,0,6,79.63888888888889,47.263888888888886,110.20833333333331
1724886228.2387648,0,7,78.04861111111111,44.74131944444444,109.82291666666669
1724886228.238937,0,8,80.75,46.17881944444444,109.48958333333331
1724886228.2391038,0,18,87.40277777777777,67.14409722222223,70.13715277777777
1724886228.2392638,0,19,91.94444444444444,65.02951388888889,71.02777777777777
1724886228.2394297,0,20,91.43402777777776,69.46701388888889,77.86111111111111
